time,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity,fixation_center,eye_state
0.6604197025299072,"(0.5674965381622314, 0.6698927879333496)",1,"(0.5617871284484863, 0.6717537641525269)",1,3.6952056884765625,1,3.172149658203125,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.6772806644439697,"(0.5662990808486938, 0.6735697984695435)",1,"(0.5600385069847107, 0.6743088364601135)",1,3.691619873046875,1,3.176177978515625,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.6939976215362549,"(0.5670922994613647, 0.6762349009513855)",1,"(0.5615430474281311, 0.6698516011238098)",1,3.682586669921875,1,3.161895751953125,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.7109854221343994,"(0.5670468211174011, 0.6747595071792603)",1,"(0.5640028119087219, 0.663249671459198)",1,3.663787841796875,1,3.1493377685546875,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.7273240089416504,"(0.5665990710258484, 0.6759486198425293)",1,"(0.5637840032577515, 0.6631758213043213)",1,3.6571044921875,1,3.1390380859375,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.7437853813171387,"(0.5690401196479797, 0.6801621913909912)",1,"(0.5639082789421082, 0.6643862128257751)",1,3.6508636474609375,1,3.139373779296875,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.7607645988464355,"(0.5710102915763855, 0.6796335577964783)",1,"(0.565118134021759, 0.6670722961425781)",1,3.6378326416015625,1,3.143310546875,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.7773382663726807,"(0.569266676902771, 0.6782811880111694)",1,"(0.5649858117103577, 0.6679437756538391)",1,3.627044677734375,1,3.1313629150390625,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.7940382957458496,"(0.5680552124977112, 0.6759761571884155)",1,"(0.5652322769165039, 0.6693832874298096)",1,3.61785888671875,1,3.133895874023437,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.8104193210601807,"(0.5692809224128723, 0.6726369261741638)",1,"(0.5665280818939209, 0.6656484007835388)",1,3.615676879882813,1,3.124862670898437,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
