timestamp,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity
2023-12-11 18:34:47.279315,"(0.7398681640625, 0.47721749544143677)",1,"(nan, nan)",0,3.5632781982421875,1,,0
2023-12-11 18:34:47.295428,"(0.7432237267494202, 0.5067132711410522)",1,"(0.8115922212600708, 0.78191077709198)",1,3.4810028076171875,1,2.0265045166015625,1
2023-12-11 18:34:47.312667,"(0.7488932013511658, 0.5301904678344727)",1,"(0.7856396436691284, 0.585663914680481)",1,3.437591552734375,1,2.9051361083984375,1
2023-12-11 18:34:47.329523,"(0.7514635324478149, 0.5209436416625977)",1,"(0.7735970616340637, 0.508178174495697)",1,3.446258544921875,1,3.2262725830078125,1
2023-12-11 18:34:47.346504,"(0.7470274567604065, 0.518429696559906)",1,"(0.7659841775894165, 0.4978417158126831)",1,3.447509765625,1,3.20623779296875,1
2023-12-11 18:34:47.362953,"(0.7457349896430969, 0.5167689919471741)",1,"(0.759750247001648, 0.4595997929573059)",1,3.4443359375,1,3.2001495361328125,1
2023-12-11 18:34:47.378962,"(0.750113308429718, 0.5172860026359558)",1,"(0.7624076008796692, 0.46049314737319946)",1,3.4375,1,3.2111663818359375,1
2023-12-11 18:34:47.395901,"(0.7467174530029297, 0.5190625786781311)",1,"(0.7664196491241455, 0.49210312962532043)",1,3.4302215576171875,1,3.2156524658203125,1
2023-12-11 18:34:47.412815,"(0.7388865947723389, 0.5173798203468323)",1,"(0.7636242508888245, 0.4915156960487366)",1,3.425628662109375,1,3.2208404541015625,1
2023-12-11 18:34:47.429058,"(0.7410929203033447, 0.5185701847076416)",1,"(0.7668680548667908, 0.4861157536506653)",1,3.42913818359375,1,3.216644287109375,1
2023-12-11 18:34:47.445716,"(0.7503597140312195, 0.5188347697257996)",1,"(0.7633240222930908, 0.48491284251213074)",1,3.4250335693359375,1,3.2125244140625,1
2023-12-11 18:34:47.462424,"(0.7414802312850952, 0.5039941668510437)",1,"(0.755304753780365, 0.48568686842918396)",1,3.4210968017578125,1,3.20147705078125,1
2023-12-11 18:34:47.478975,"(0.7006960511207581, 0.43594396114349365)",1,"(0.7298786044120789, 0.42371702194213867)",1,3.398834228515625,1,3.184814453125,1
2023-12-11 18:34:47.496014,"(0.6532700061798096, 0.3671674132347107)",1,"(0.6962567567825317, 0.34880420565605164)",1,3.4109649658203125,1,3.1891632080078125,1
2023-12-11 18:34:47.512572,"(0.6053701639175415, 0.301479697227478)",1,"(0.6053847074508667, 0.2629408836364746)",1,3.41192626953125,1,3.2211761474609375,1
2023-12-11 18:34:47.529119,"(0.5926968455314636, 0.282434344291687)",1,"(0.6053847074508667, 0.2629408836364746)",1,3.41168212890625,1,3.2211761474609375,1
2023-12-11 18:34:47.545785,"(0.5985420942306519, 0.2813534140586853)",1,"(0.6059809923171997, 0.2507529854774475)",1,3.407958984375,1,3.2326812744140625,1
2023-12-11 18:34:47.562541,"(0.6003578901290894, 0.28620800375938416)",1,"(0.6257253885269165, 0.22949764132499695)",1,3.3964385986328125,1,3.2242431640625,1
2023-12-11 18:34:47.579377,"(0.5911188125610352, 0.291206419467926)",1,"(0.6262592077255249, 0.21366451680660248)",1,3.3733062744140625,1,3.2304229736328125,1
2023-12-11 18:34:47.596177,"(0.5902960300445557, 0.2931860089302063)",1,"(0.6261236667633057, 0.22126618027687073)",1,3.368988037109375,1,3.2205657958984375,1
2023-12-11 18:34:47.612992,"(0.5930808186531067, 0.29696521162986755)",1,"(0.6282505989074707, 0.22048766911029816)",1,3.3625946044921875,1,3.2116546630859375,1
2023-12-11 18:34:47.628836,"(0.592583954334259, 0.2996898889541626)",1,"(0.6278656721115112, 0.22610554099082947)",1,3.3463897705078125,1,3.2045440673828125,1
2023-12-11 18:34:47.645206,"(0.5973074436187744, 0.29873961210250854)",1,"(0.6359617114067078, 0.18201853334903717)",1,3.3321380615234375,1,3.2192535400390625,1
2023-12-11 18:34:47.662449,"(0.597781777381897, 0.30056363344192505)",1,"(0.6286687850952148, 0.12293633073568344)",1,3.3260650634765625,1,3.2577056884765625,1
2023-12-11 18:34:47.679761,"(0.5954258441925049, 0.29804345965385437)",1,"(0.6084426641464233, 0.24894191324710846)",1,3.3162689208984375,1,3.204559326171875,1
2023-12-11 18:34:47.696087,"(0.5958468317985535, 0.29589349031448364)",1,"(0.6256682276725769, 0.24425296485424042)",1,3.311981201171875,1,3.18536376953125,1
2023-12-11 18:34:47.712411,"(0.596735417842865, 0.30657315254211426)",1,"(0.627776563167572, 0.246566504240036)",1,3.3060302734375,1,3.17584228515625,1
2023-12-11 18:34:47.728955,"(0.596900463104248, 0.30825209617614746)",1,"(0.6267058253288269, 0.2475472092628479)",1,3.30267333984375,1,3.1697235107421875,1
2023-12-11 18:34:47.745808,"(0.59466552734375, 0.30685943365097046)",1,"(0.6325690150260925, 0.18856331706047058)",1,3.3032379150390625,1,3.19000244140625,1
2023-12-11 18:34:47.765426,"(0.5931620001792908, 0.30946609377861023)",1,"(0.6245961785316467, 0.12980002164840698)",1,3.3001861572265625,1,3.2280426025390625,1
2023-12-11 18:34:47.778841,"(0.599530041217804, 0.3124648928642273)",1,"(0.6157072186470032, 0.280933141708374)",1,3.29742431640625,1,3.1770477294921875,1
2023-12-11 18:34:47.795529,"(0.6239936351776123, 0.323269784450531)",1,"(0.6157072186470032, 0.280933141708374)",1,3.2925872802734375,1,3.1770477294921875,1
